鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區樟新街56巷1~30號,48.18,住,,,10402,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800425,221.17,5,2,2,有,無,24000000,108514,升降平面,0.0,0,內含獨立產權車位，未包含在棟數。內含增建或未登記建物。車位面積無法概算。,RPQNMLSJMHKFFAA47CA
中正區,房地(土地+建物),臺北市中正區羅斯福路一段31~60號,7.54,商,,,10403,土地2建物1車位0,三層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860113,56.5,3,1,1,有,有,17000000,300885,,0.0,0,,RPSOMLQKMHKFFAA67CA
大同區,房地(土地+建物),臺北市大同區民權西路271~300號,7.77,住,,,10403,土地1建物1車位0,三層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0931029,44.56,1,1,1,有,無,5400000,121185,,0.0,0,,RPVOMLLJMHKFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區西園路一段151~180號,2.98,商,,,10403,土地3建物1車位0,六層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0780503,34.37,0,1,1,有,有,5300000,154204,,0.0,0,,RPWOMLLJMHKFFBA57CA
中正區,房地(土地+建物),臺北市中正區博愛路91~120號,151.0,商,,,10312,土地2建物1車位0,全,3,透天厝,商業用,見其他登記事項,,346.65,0,0,0,無,無,215600000,621953,,0.0,0,,RPRNMLRJMHKFFBA57CA
大同區,土地,圓環段二小段361~390地號,105.0,住,,,10403,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38600000,367619,,0.0,0,,RPPNMLKKMHKFFBA76CA
大同區,房地(土地+建物),臺北市大同區延平北路二段241~270號,119.74,商,,,10402,土地28建物1車位0,二層,12,其他,商業用,鋼筋混凝土造,0681211,1292.32,50,1,50,有,無,300950000,232876,,0.0,0,本案建物作旅館使用,RPUOMLNLMHKFFBA77CA
大同區,房地(土地+建物),臺北市大同區民族西路169巷1~30號,59.0,住,,,10311,土地1建物2車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0590821,172.22,4,2,2,有,無,15000000,87098,,0.0,0,親友特殊關係間之交易。,RPUNMLLJNHKFFBA37CA
中山區,房地(土地+建物),臺北市中山區新生北路二段61~90號,3.92,商,,,10403,土地1建物1車位0,二層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970925,33.55,1,1,1,有,有,6680000,199106,,0.0,0,含增建或未登記建物。,RPXQMLLJMHKFFCA97CA
中山區,房地(土地+建物),臺北市中山區農安街1~30號,9.21,商,,,10403,土地1建物1車位0,八層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931117,71.28,0,2,1,有,有,18100000,253928,,0.0,0,含增建或未登記建物。,RPORMLLJMHKFFCA17CA
內湖區,車位,臺北市內湖區民權東路六段1~30號,0.39,工,,,10401,土地0建物0車位1,地下二層,6,其他,停車空間,鋼筋混凝土造,0931228,32.33,0,0,0,有,有,1500000,,坡道平面,32.33,1500000,,RPOOMLMJMHKFFCA96CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段1~30號,73.99,工,,,10401,土地1建物1車位1,四層,6,廠辦,工業用,鋼筋混凝土造,0931228,296.88,4,1,0,有,有,31500000,106103,坡道平面,31.07,0,,SPOOMLMJMHKFFCA07CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段54巷1~30號,21.21,住,,,10402,土地1建物1車位1,二層，電梯樓梯間,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850904,131.2,2,2,1,有,有,19900000,151677,坡道平面,0.0,0,價格含增建,車位面積無法拆算,RPWOMLMJMHKFFCA77CA
內湖區,土地,碧山段一小段181~210地號,917.62,其他,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2775800,3025,,0.0,0,,RPSNMLRJMHKFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區週美里新明路361~390號,35.41,住,,,10402,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990712,250.10999999999999,3,2,2,有,有,39980000,159850,坡道平面,30.95,0,,RPWRMLRJMHKFFCA58CA
內湖區,房地(土地+建物),臺北市內湖區康樂街61巷79弄1~30號,24.52,住,,,10311,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731019,78.61,2,2,1,有,無,9380000,119323,,0.0,0,價格含增建。,RPXRMLRJMHKFFCA68CA
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街173巷1~30號,34.87,住,,,10401,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760616,102.76,3,2,1,有,有,16800000,163488,,0.0,0,價格含增建。,RPOSMLRJMHKFFCA87CA
中山區,房地(土地+建物),臺北市中山區林森北路541~570號,8.14,商,,,10403,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0670421,72.59,1,1,1,有,有,12400000,170799,,0.0,0,,RPXOMLSJMHKFFCA48CA
內湖區,房地(土地+建物),臺北市內湖區金湖路1~30號,25.5,住,,,10402,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681210,84.46,3,2,1,有,無,11450000,135567,,0.0,0,,RPPPMLSJMHKFFCA77CA
內湖區,房地(土地+建物),臺北市內湖區康寧路一段218巷2弄1~30號,35.31,住,,,10403,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690508,90.17,3,2,1,有,無,13800000,153044,,0.0,0,,RPVQMLSJMHKFFCA48CA
